ID,URL,Status,Description_short,Description,Cost_estimate,Type,Manager
397,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000397,PRE-CONSTRUCTION,SR 3/US 41 @ CR 1097 & CR 397 - Relocate Intersection,This project is to relocate the intersection of Old S.R. 293 and to add left and right turn lanes at the intersection with County Road 397.This is an Intersection Improvement Project.,817000,Reconstruction/Rehabilitation,Albert V. Shelby III
402,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000402,PRE-CONSTRUCTION,SR 15 Alt Eb & Wb Passing Lanes Bt Commerce & Jefferson,,24850946.92,Reconstruction/Rehabilitation,Albert V. Shelby III
405,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000405,PRE-CONSTRUCTION,SR 7/US 341 From SR 96/Peach To 4-Ln/Houston & Part New Loc,,54351253,Reconstruction/Rehabilitation,Albert V. Shelby III
406,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000406,PRE-CONSTRUCTION,SR 101 From SR 6/US 278/Polk To CR 57/Pleasant Hope Ch./Floyd,,96463831.19,Reconstruction/Rehabilitation,Albert V. Shelby III
411,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000411,UNDER-CONSTRUCTION,SR 83 Conn - Construction Of Alt Conn,"This project is to construct a new location, 4.7-mile connector that would provide a bypass around the historic downtown City of Monroe. The connector would tie into the existing intersection of James Huff Road and SR 10/US 78. The proposed typical section along the SR 83 Connector would consist of two 12-foot lanes (one travel lane in each direction) with 10-foot outside shoulders (6.5 feet paved). At intersection locations, single 12-foot right and left-turn lanes would be provided. The existing segment of SR 83 would remain as a two-lane roadway for approximately 0.73 miles from SR 83 at SR 83 Connector and would remain as a four-lane roadway with 12-foot travel lanes with a combination of a raised and depressed median for approximately 0.48 miles leading to SR 83 at SR 10/US 78.",44986115.03,New Construction,Bobby Gabriel Johnson
414,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000414,PRE-CONSTRUCTION,SR 138 From Miller Bottom RD To SR 10/US 78,,115778027.7,Reconstruction/Rehabilitation,Albert V. Shelby III
415,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000415,PRE-CONSTRUCTION,SR 10/US 78 From Gwinnett County Line To SR 10Bu In Monroe,,151540345.8,Reconstruction/Rehabilitation,Albert V. Shelby III
416,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000416,PRE-CONSTRUCTION,SR 20 From Sharon Church RD/Walton To Pleasant Hill RD/Rockdle,,69886390.02,Reconstruction/Rehabilitation,Albert V. Shelby III
419,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000419,PRE-CONSTRUCTION,Vine Street From SR 11 To SR 10/US 78; Inc New Loc,,30897617.43,Reconstruction/Rehabilitation,Albert V. Shelby III
420,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000420,PRE-CONSTRUCTION,CR 455/Jersey-Monroe RD From Youth Jersey RD To SR 11,,71395734.75,Reconstruction/Rehabilitation,Albert V. Shelby III
425,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000425,COMPLETED-CONSTRUCTION,I-985/SR 13 - Interchange Construction,"This project will provide a new diamond interchange on 1-985 near Martin Road between Exit No. 12 (Spout Springs Road/City of Flowery Branch) and Exit No. 16 (S. R. 53/City of Oakwood). A four lane roadway section divided with a 24-32 ft. variable width raised median on a new location will connect H. F. Reed Industrial Parkway at Thurmon Tanner Parkway on the west side of 1-985 and Martin Road at SR 13 (Falcon Parkway) on the east side of 1-985. The four lane road section will also include 4 ft. bike lanes on each side, 12 ft. urban shoulders, curb and gutter and 5 ft. sidewalk.",51011551.53,New Construction,David B. Lott
473,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000473,UNDER-CONSTRUCTION,SR 133 - Construction Of A Bridge,Project PI Number 0000473 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of CR 459/ County Line Road to North of CR 540/Holly Drive for a distance of 8.11 miles.,73296743.13,Reconstruction/Rehabilitation,Robert Lester Johnson
475,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000475,UNDER-CONSTRUCTION,SR 133 - Widening & Reconst,Project PI Number 0000475 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of SR 112 to North of CR 459/County Line Road for a distance of 3.47 miles.,37541660.8,Reconstruction/Rehabilitation,Robert Lester Johnson
477,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000477,PRE-CONSTRUCTION,SR 47 From Pollards Corner/Columbia To Lincolnton/Lincoln,,177339296.4,Reconstruction/Rehabilitation,Albert V. Shelby III
481,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000481,COMPLETED-CONSTRUCTION,US 280/SR 30/SR 90 - Widening & Reconstr,This project is the widening of SR 30/90/US 280 in the City of Cordele in Crisp County. The project begins just east of the I-75 northbound ramps and extends eastward to just east of the intersection of SR 30/90/US 280 and Midway Road. SR 30 will be widened to provide two through lanes eastbound and two through lanes westbound with a 14 ft. flush median.,4658702.3,Reconstruction/Rehabilitation,Michelle O. Wright
519,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000519,UNDER-CONSTRUCTION,SR 133 -  Widening,Project PI Number 0000519 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of the Colquitt County line to North of SR 112 for a distance of 6.49 miles,60382251.82,Reconstruction/Rehabilitation,Robert Lester Johnson
520,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000520,UNDER-CONSTRUCTION,SR 133 - Bridge Rehab,Project PI Number 0000520 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from South of SR 35/US 319 to North of the Colquitt County line for a distance of 13.87 miles.,88254990.05,Reconstruction/Rehabilitation,Robert Lester Johnson
534,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000534,PRE-CONSTRUCTION,SR 293 @ SR 3,,685000,Reconstruction/Rehabilitation,Albert V. Shelby III
544,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000544,COMPLETED-CONSTRUCTION,SR 133 - Widening & Rcns,"This project is the widening and reconstruction of S.R. 133 from C.R. 10/Pauline Church Road (Brooks County Mile Post 7.29), where it ties to Project STP00-0000-00(543), to Old Quitman Adel Road/ C.R. 1 (Brooks County Mile Post 12.72) The total project length is 5.43 miles. STP00-0000-00(544) in Brooks County is proposed to improve 5.43 miles of where it ties to Project STP00-0000-00(545). Improvements consist of widening the existing two-lane S.R. 133 to a four-lane roadway with turn lanes as needed. The roadway median type of the typical section was revised a 14¿ flush two-way center turn lane with 12¿ outside urban shoulders, and the 32¿ depressed median.State Route 133 is a major north-south corridor and is part of the Governor's Road Improvement Program (GRIP).",39834479.12,Reconstruction/Rehabilitation,Cleopatra Cawon James
545,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000545,COMPLETED-CONSTRUCTION,SR 133 - Widening & Reconstruction,"Project STP00-0000-00(545) in Brooks and Colquitt Counties is proposed to improve 9.63 miles of S.R. 133 from Old Quitman Adel Road/ C.R. 1 (Brooks County MP 12.72), where it ties to Project STP00-0000-00(544), to Old Berlin Road/ C.R. 256 (Colquitt County MP 2.19), where it ties to Project STP00-0000-00(546). The 32' grassed median width from Old Quitman Adel Road/ C.R. I to S.R. 333. The 32 ' depressed grassed median transitions from the 14' flush median at Old Quitman Adel Road/CR 1. Improvements consist of widening the existing two-lane S.R. 133 to a four-lane roadway with turn lanes as needed. State Route 133 is a major north-south corridor and is part of the Governor's Road Improvement Program (GRIP).",49187910.81,Reconstruction/Rehabilitation,Cleopatra Cawon James
546,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000546,COMPLETED-CONSTRUCTION,SR 133 Widening & Reconstruction,"STP00-0000-00(546) in Colquitt County is proposed to improve 7.86 miles of SR 133 from Old Berlin Road/ CR 256 (Colquitt County Mile Post 2.19), where it ties to Project STP00-0000-00(545), to Hawthorne Road/ CR 388 (Colquitt County Mile Post 10.05) where it ties to Project STP00-0032-02(028). Improvements consist of widening the existing two-lane SR 133 to a four-lane roadway with turn lanes as needed. The roadway median type of the typical section was revised to a five lane flush median section through the City of Berlin and Eastern Moultrie with a 14' flush two-way center tum lane, and a 10' rural shoulder. For its entire length between Valdosta and Albany, S.R. 133 is identified for eventual widening due to its inclusion on the Governor's Road Improvement Program (GRIP).",37646080.4,Reconstruction/Rehabilitation,Cleopatra Cawon James
562,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000562,PRE-CONSTRUCTION,CR 650/Bill Gardner Pkwy From SR 155 To I-75 - Phase I,,20213000,Reconstruction/Rehabilitation,Albert V. Shelby III
566,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000566,COMPLETED-CONSTRUCTION,Sardis Church RD - Widening & Rcns,"The project begins approximately 1100' east of Skipper Road where it ties into the I-75/Sardis Church Rd Interchange Project, NH-75-1(246). The project will construct a 4-lane, divided east-west connector between Skipper Rd and SR 247/US 129 (20-ft raised, concrete median, 4-ft bike lanes, curb and gutter and 5-ft sidewalks on both sides of the roadway). The project widens existing Sardis Church Rd from 1100' east of Skipper Rd east approx. 0.85 miles, turns south on new location for 3.8 miles, and connects to existing Avondale Mill Rd at the southwest corner of the airport. Avondale Mill Rd will be widened to match the typical section referenced above for the remaining 1.7 miles of the project A trumpet interchange will be constructed at the existing intersection of Avondale Mill Rd with SR 247/US 129 to accommodate the projected heavy northbound SR 247/US 129 to westbound Avondale Mill Rd afternoon traffic. The total length of the project is 6.3 miles. SPLOST Project MCN-L25.",78514926.94,Reconstruction/Rehabilitation,Clinton B. Ford
643,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000643,COMPLETED-CONSTRUCTION,CS 5079/Shannon Pkwy From SR 138 To CS 5082/Mall Blvd,"Project consists of sidewalk construction & bike facility improvements along Shannon Pkwy from Jonesboro Rd/SR 138 to Flat Shoals Rd in Union City. Construction of curb & gutter, 4' bike lanes, 5' sidewalks, ADA facilities, and pedestrian crosswalks, as well as placement of lighting and roadway striping along the corridor. In addition, the portion of Mall Blvd. between Shannon Pkwy & Londonderry Way will be striped to include bike lanes.",466814.95,Enhancement,Leonora Evelyn Leigh
716,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000716,UNDER-CONSTRUCTION,Hartsfield Airport: Reloc SR 139/Riverdale & SR 314/W. Fayet,,0,Reconstruction/Rehabilitation,Glenn S Bowman
762,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000762,COMPLETED-CONSTRUCTION,I-75/SR 401 - Interchange Improvements,"The I-75/SR7 (Shiloh Road/North Valdosta Road) interchange reconstruction begins on Shiloh Road just east of the Frank¿s Creek bridge. With proposed improvements, the existing two-lane Shiloh Road would transition to and become a four-lane divided roadway with a 20-foot raised concrete median and rural 6 1/2-foot outside paved shoulders. The existing I-75 southbound on and off-ramps constructed under Project NH 75-1(203), P.I. No. 410500 would be tied to the proposed SR7 improvements. The project would include a new bridge over I-75 and reconstruct the I-75 northbound on and off-ramps as a conventional diamond interchange. The I-75/SR7 interchange reconstruction on SR7 (N. Valdosta Road) ends just west of the existing signalized intersection at Coleman Road (CR553). The project would tie to the existing four-lane divided rural roadway with a forty-foot depressed grass median.",76076851.52,Reconstruction/Rehabilitation,Clinton B. Ford
807,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000807,PRE-CONSTRUCTION,Sapelo Island-Beach RD @ Dean Creek(Bt Reynolds Man.& Beach),This project is a bridge replacement on Sapelo Island Beach Road over Dean Creek in McIntosh County. It is 0.04 miles long and replaces three existing 48 inch pipes with headwalls on a one-lane paved road with a new 140' x 18' bridge. The existing pipes have failed and the road is currently closed.,0,Reconstruction/Rehabilitation,Albert V. Shelby III
821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000821,PRE-CONSTRUCTION,SR 40 From SR 40 Conn To 0.36 MI E Of CR 82/May Bluff RD - TIA,"State Route (SR 40) is a major east-west corridor in southeast Georgia, connecting Folkston on the west with Kingsland, Interstate 95, and St. Mary¿s on the east. At mile post (MP) 0.63 near the SR 40 Connector intersection with SR 40 the project would widen SR 40 from a two-lane to a five-lane rural section and then transition to a four-lane divided highway with a 24-foot raised median at mile post 1.51. The four-lane section would extend eastward to Mile Post 2.54 (northeast of CR 82) in Charlton County for a total project length of 1.91 miles. One Box Bridge Culvert identified as bridge # 049-0027-0 will be lengthened.",17913767.1,Reconstruction/Rehabilitation,Cassius Octavius Edwards
932,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000932,PRE-CONSTRUCTION,I-75 Upgrades @ SR 61,,2800000,Reconstruction/Rehabilitation,Albert V. Shelby III
1040,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001040,PRE-CONSTRUCTION,SR 44 From Gray Bypass To CR 104/Mathis Road,,52615020.92,Reconstruction/Rehabilitation,Albert V. Shelby III
1042,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001042,PRE-CONSTRUCTION,SR 32 Reloc/NE Ocilla Bypass Between SR 32 And SR 11,,23300000,New Construction,Albert V. Shelby III
1043,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001043,PRE-CONSTRUCTION,SR 32 Reloc/NW Ocilla Bypass Between SR 35 And SR 11,,15200000,New Construction,Albert V. Shelby III
1044,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001044,PRE-CONSTRUCTION,SR 35 From SR 520/Tift To SR 32/Irwin,,129839328,Reconstruction/Rehabilitation,Albert V. Shelby III
1047,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001047,PRE-CONSTRUCTION,SR 98 Passing Lanes @ 2 Locations Between SR 8 And SR 172,,21008113.6,Reconstruction/Rehabilitation,Albert V. Shelby III
1096,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001096,UNDER-CONSTRUCTION,Mcdonough Pkwy Ext From Jonesboro RD To SR 42/US 23 Ph 1-GRTA,"This project comprises the McDonough Parkway extension from the intersection of the existing McDonough Parkway with Jonesboro Road continuing northeasterly on new location to U.S. 23/S.R. 42. The length of the proposed extension is 1.2 miles. This project will complete a connection of S.R. 20/81 west of McDonough to S.R. 42 north of McDonough with traffic on S.R.20/81 or Jonesboro Road. This project, in conjunction with the existing McDonough Parkway, will provide a west bypass of McDonough. McDonough Parkway Extension will taper from the current 3 lanes at the existing McDonough Parkway to 2 lanes and maintain 2 lanes for approximately 4000 feet. Just prior to intersecting Ivey Edwards Lane, it tapers back to 3 lanes. From its intersection with Ivey Edwards Lane to the end of the project at U.S.23 /S.R. 42, it will become a four lane divided roadway with a 20 foot wide raised median. A bridge will be constructed over Norfolk Southern Railroad. The speed design will be 35 mph.",4224484,New Construction,Michael B. McManus
1216,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001216,COMPLETED-CONSTRUCTION,US 1/SR 4/SR 15 - Bridge Replacement,"BR000-0001-00(216) will replace the functionally inadequate bridges on US 1/SR 4 over Altamaha River, Overflow 1 and Williams Creek. The project site is located approximately 10 miles north of the City of Baxley in Appling and Toombs Counties. The project begins at milepost 20.5 in Appling County and ends at milepost 1.7 in Toombs County, for a total project length of 2.5 miles.",28061223.41,Replacement,Michelle O. Wright
1322,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001322,PRE-CONSTRUCTION,Passenger Rail Macon To Albany - Phase 1,,35000000,Capital,Harvey D. Keepler
1323,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001323,PRE-CONSTRUCTION,Passenger Rail Macon To Albany - Phase 2,,40000000,Capital,Harvey D. Keepler
1324,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001324,PRE-CONSTRUCTION,Passenger Rail Macon To Albany - Phase 3,,25000000,Capital,Harvey D. Keepler
1325,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001325,PRE-CONSTRUCTION,Passenger Rail Macon To Savannah - Phase 1,,50000000,Capital,Harvey D. Keepler
1327,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001327,PRE-CONSTRUCTION,Passenger Rail Macon To Savannah - Phase 2,,83000000,Capital,Harvey D. Keepler
1328,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001328,PRE-CONSTRUCTION,Passenger Rail Macon To Savannah - Phase 3,,32000000,Capital,Harvey D. Keepler
1333,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001333,PRE-CONSTRUCTION,Commuter Rail Atlanta To Bremen - Phase 1,,295200000,Capital,Harold M Wilson Jr
1334,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001334,PRE-CONSTRUCTION,Commuter Rail Atlanta To Senoia - Phase 1,,188800000,Capital,Harvey D. Keepler
1339,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001339,PRE-CONSTRUCTION,SR 7/US 341 Passing Lanes @ 5 Locations Crawford& Lamar Co.,,18479286,Reconstruction/Rehabilitation,Albert V. Shelby III
1572,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001572,COMPLETED-CONSTRUCTION,US 19/SR 300 - Median Improvements,"This project consists of median opening improvements on SR 300/US 19 from Dougherty County to Warwick. At the various locations located on this corridor the existing median cross over will be reconstructed to provide Type ""B"" Median Cross Overs-Offset left turn lanes for S.R. 300. The existing Type ""A"" Median Cross Overs-Adjacent left turn lanes will be reconstructed as Type ""B"" Median Cross Overs. Right turn lanes will also be constructed and/or extended to meet speed design deceleration distances at various locations. Right turn lanes will only be constructed if they can be done within the existing R/W.",10994222,Safety,Sonja Thompson
1757,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001757,COMPLETED-CONSTRUCTION,SR 400 - Phase 1 Db,"Major Mobility Investment Program (MMIP); Design-Build-Finance delivery of SR 400, one of the most congested facilities in metro Atlanta. The addition of Express Lanes (EL) to this corridor will provide reliable trip times from I-285 to McFarland Road. The proposed Express Lanes will be constructed to directly connect to the the future I-285 Top End Express Lanes. This mobility enhancing project would consist of: · Two Express Lanes in each direction along SR 400 between the North Springs MARTA station and McGinnis Ferry Road. · One Express Lane in each direction from McGinnis Ferry Road to just north of McFarland Road. Intermediate access points to the ELs would be provided throughout the corridor.",2763141181,Reconstruction/Rehabilitation,Beau J. Quarles
1809,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001809,PRE-CONSTRUCTION,SR 257 From S Of I-16 To N Of Dexter,,11374554,Reconstruction/Rehabilitation,Albert V. Shelby III
1810,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001810,COMPLETED-CONSTRUCTION,US 23/SR 19 - Bridge Replacement,"This project consists of adding a grade separation on SR 19/US 23 across Norfolk-Southern Railroad. The approximately 40' x 165' overpass and its approaches will consists of two travel lanes. A right turn lane will be provided where warranted. The project will be approximately 0.4 mile in length, and is located just inside of the southern boundary of the City of Hazlehurst.",8361641.14,New Construction,Michelle O. Wright
1812,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001812,COMPLETED-CONSTRUCTION,SR 219 - Construction Of Passing Lanes,Construct passing lanes in three (3) locations along SR 219 from Luther Land Bridge to Happy Hollow Road.,17690438,Reconstruction/Rehabilitation,Nona Guilford
1815,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001815,PRE-CONSTRUCTION,CR 494/Rock Bridge Road Grade Separation @ CSX Rr,,6308000,New Construction,Albert V. Shelby III
1816,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001816,PRE-CONSTRUCTION,CR 326/6Th  Street Grade Separation @ CSX Rr,,6308000,New Construction,Albert V. Shelby III
1817,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001817,COMPLETED-CONSTRUCTION,Cw Grant Pkwy (CR 1516) - Widening & Reconstruction,This project proposes to relocate Conley Road south on new location to align with CW Grant Pkwy. CW Grant Pkwy/Conley Road will then be grade separated under Norfolk Southern Railroad and Old Dixie Highway. CW Grant Pkwy/Conley Road is proposed to be constructed/widened to a four (4) lane roadway (two lanes in each direction) separated by a 20 ft wide raised median from existing CW Grant Pkwy to I-285 for 1.13 miles. The relocation of Conley Road realigns with existing Conley Road at Ellery Drive. This project also proposes to relocate SR 3/Old Dixie Road to the east approximately 600 feet and provide a new connection from existing CW Grant Pkwy to Old Dixie Highway.,61687379.93,New Construction,Obi Ezenekwe
1820,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001820,PRE-CONSTRUCTION,SR 117 Realignment In Rhine,,4470333.98,Reconstruction/Rehabilitation,Albert V. Shelby III
1821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001821,PRE-CONSTRUCTION,Mcever Road From SR 347 To CS 537/Gainesville Street,,50553940,Reconstruction/Rehabilitation,Albert V. Shelby III
1822,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001822,PRE-CONSTRUCTION,SR 13/Atlanta Hwy From CR 528/Radford RD To S Of SR 53,,87260830.84,Reconstruction/Rehabilitation,Albert V. Shelby III
1823,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001823,PRE-CONSTRUCTION,SR 72 Realign Bet CR 76/ Dove CR Church RD And CR 75,,4318077.28,Reconstruction/Rehabilitation,Albert V. Shelby III
2040,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002040,COMPLETED-CONSTRUCTION,SR 138 - Inter Improv,"The 0.3-mile project provides a westbound left turn lane to Amherst Lane by widening SR 138 asymmetrically to the north of its current alignment. The widening would begin just east of the existing triple 8x8 box culvert at Almand Creek, and would taper out over 600-ft to provide a 12-ft left turn lane at the intersection of SR 138 and Amherst Lane. Storage for the left turn lane would measure 285-ft of full width. The widening will taper down approximately 600-ft to match the existing pavement width. Existing mountable curb will be retained along eastbound SR 138 adjacent to the existing right turn lane, and after the intersection of SR 138 and Amherst Lane. All existing pavement within the project limits will be milled and inlayed. No improvements are proposed along Amherst Lane.",2143068.22,Reconstruction/Rehabilitation,Gretel Sims
2377,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002377,COMPLETED-CONSTRUCTION,The Atlanta Campaign & March To The Sea Heritage Trails,"This project will be built using TE and local funds. This project is described as a collection of highway directional signs, a series of National Park Service-styled ""interpretive markers"", and a few small roadside ROW parking areas (where needed), along the exact or approximate transportation routes traveled by the Union and Confederate armies. These signs will dot the highways and other roads on which Confederate President Jefferson Davis and/or various Union cavalry pursuers traveled.",688719.97,Enhancement,Terry L. Gable
2391,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002391,PRE-CONSTRUCTION,SR 15/US 441 From Loop 10 North To Clarke County Line,,24954699.57,Reconstruction/Rehabilitation,Albert V. Shelby III
